ranking_final,modelo,umbral,accuracy_test,precision_test,recall_test,specificity_test,f1_test,roc_auc_test,aic,bic,tiempo_fit_segundos,memoria_pico_fit_mb,puntaje_global
1,penalty=l2_C=10_umbral=0.50,0.5,0.8191475409836065,0.7622488146308422,0.6644361346191695,0.8964499950830956,0.7099894847528917,0.8846830040529963,49150.61378736415,49781.91323707059,30.896724999998696,70.76964378356934,11.0
2,penalty=l1_C=10_umbral=0.50,0.5,0.8191475409836065,0.7622488146308422,0.6644361346191695,0.8964499950830956,0.7099894847528917,0.8846824040764806,49150.61668632786,49781.916136034306,38.92704920005053,70.77108955383301,18.0
3,penalty=l1_C=1_umbral=0.50,0.5,0.8191475409836065,0.7624858757062147,0.6640425113166699,0.8966466712557773,0.7098674521354934,0.8846601855913161,49145.00953088509,49749.25328988983,41.458031700050924,70.76997470855713,18.0
4,penalty=l2_C=1_umbral=youden,0.3154748858377897,0.7982295081967213,0.6601150527325024,0.8130289313127337,0.7908348903530338,0.7286356821589205,0.8846543406588078,49150.92771201267,49782.227161719115,27.174500700028148,70.77955722808838,19.0
5,penalty=l2_C=1_umbral=0.50,0.5,0.8191475409836065,0.7624858757062147,0.6640425113166699,0.8966466712557773,0.7098674521354934,0.8846543406588078,49150.92771201267,49782.227161719115,30.167088799993508,70.77045631408691,19.0
6,penalty=l2_C=0.1_umbral=0.50,0.5,0.8186229508196722,0.7625311862100249,0.6616807715016729,0.8970400236011408,0.7085353003161222,0.8844076922485881,49168.41961706723,49799.71906677367,22.18099899997469,70.77093315124512,25.0
7,penalty=l1_C=0.1_umbral=0.50,0.5,0.8190819672131148,0.762550881953867,0.6636488880141704,0.8967450093421182,0.7096706303272651,0.8843861511562641,49146.291966631165,49633.29439926185,41.2094968999736,70.77740097045898,26.0
