escenario,conjunto,umbral,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp
umbral_0.50,train,0.5,0.8164797691651912,0.7590963274110234,0.658022929685578,0.8956555946205099,0.7049551924090669,0.8809332154923274,36429,4244,6950,13373
umbral_0.50,test,0.5,0.8191475409836065,0.7624858757062147,0.6640425113166699,0.8966466712557773,0.7098674521354934,0.8846543406588078,9118,1051,1707,3374
umbral_youden,train,0.3154748858377897,0.7950685290838744,0.656453741850326,0.807557939280618,0.7888279694145993,0.7242079251610626,0.8809332154923274,32084,8589,3911,16412
umbral_youden,test,0.3154748858377897,0.7982295081967213,0.6601150527325024,0.8130289313127337,0.7908348903530338,0.7286356821589205,0.8846543406588078,8042,2127,950,4131
