conjunto,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp
train,0.8164797691651912,0.7590963274110234,0.658022929685578,0.8956555946205099,0.7049551924090669,0.8809332154923274,36429,4244,6950,13373
test,0.8191475409836065,0.7624858757062147,0.6640425113166699,0.8966466712557773,0.7098674521354934,0.8846543406588078,9118,1051,1707,3374
