ranking_final,modelo,penalty,C,umbral,accuracy_train,precision_train,recall_train,specificity_train,f1_train,roc_auc_train,accuracy_test,precision_test,recall_test,specificity_test,f1_test,roc_auc_test,tn_test,fp_test,fn_test,tp_test,tiempo_fit_segundos,memoria_pico_fit_mb,numero_parametros,log_likelihood_train,aic,bic,rank_f1,rank_roc_auc,rank_bic,rank_tiempo,rank_memoria,puntaje_global
1,penalty=l2_C=10_umbral=0.50,l2,10.0,0.5,0.816414191094498,0.7588652482269503,0.6581213403532943,0.8955080766110196,0.7049119848213344,0.880939667242763,0.8191475409836065,0.7622488146308422,0.6644361346191695,0.8964499950830956,0.7099894847528917,0.8846830040529963,9116,1053,1705,3376,30.896724999998696,70.76964378356934,70,-24505.306893682075,49150.61378736415,49781.91323707059,2.0,1.0,3.0,4.0,1.0,11.0
2,penalty=l1_C=10_umbral=0.50,l1,10.0,0.5,0.8164305856121713,0.7589083068542896,0.6581213403532943,0.8955326629459347,0.704930561045669,0.8809400192883989,0.8191475409836065,0.7622488146308422,0.6644361346191695,0.8964499950830956,0.7099894847528917,0.8846824040764806,9116,1053,1705,3376,38.92704920005053,70.77108955383301,70,-24505.30834316393,49150.61668632786,49781.916136034306,2.0,2.0,4.0,5.0,5.0,18.0
3,penalty=l1_C=1_umbral=0.50,l1,1.0,0.5,0.816528952718211,0.7591667612668861,0.6581213403532943,0.895680180955425,0.70504203895522,0.8809365000418179,0.8191475409836065,0.7624858757062147,0.6640425113166699,0.8966466712557773,0.7098674521354934,0.8846601855913161,9118,1051,1707,3374,41.458031700050924,70.76997470855713,67,-24505.504765442543,49145.00953088509,49749.25328988983,4.0,3.0,2.0,7.0,2.0,18.0
4,penalty=l2_C=1_umbral=youden,l2,1.0,0.3154748858377897,0.7950685290838744,0.656453741850326,0.807557939280618,0.7888279694145993,0.7242079251610626,0.8809332154923274,0.7982295081967213,0.6601150527325024,0.8130289313127337,0.7908348903530338,0.7286356821589205,0.8846543406588078,8042,2127,950,4131,27.174500700028148,70.77955722808838,70,-24505.463856006336,49150.92771201267,49782.227161719115,1.0,4.0,5.0,2.0,7.0,19.0
5,penalty=l2_C=1_umbral=0.50,l2,1.0,0.5,0.8164797691651912,0.7590963274110234,0.658022929685578,0.8956555946205099,0.7049551924090669,0.8809332154923274,0.8191475409836065,0.7624858757062147,0.6640425113166699,0.8966466712557773,0.7098674521354934,0.8846543406588078,9118,1051,1707,3374,30.167088799993508,70.77045631408691,70,-24505.463856006336,49150.92771201267,49782.227161719115,4.0,4.0,5.0,3.0,3.0,19.0
6,penalty=l2_C=0.1_umbral=0.50,l2,0.1,0.5,0.8162174568824185,0.7597332269281195,0.6558086896619594,0.8963685983330465,0.7039560555643585,0.8808352149396301,0.8186229508196722,0.7625311862100249,0.6616807715016729,0.8970400236011408,0.7085353003161222,0.8844076922485881,9122,1047,1719,3362,22.18099899997469,70.77093315124512,70,-24514.209808533615,49168.41961706723,49799.71906677367,7.0,6.0,7.0,1.0,4.0,25.0
7,penalty=l1_C=0.1_umbral=0.50,l1,0.1,0.5,0.8159387500819726,0.75885031303358,0.6560547163312503,0.8958276989649153,0.703718364869501,0.8808495108959208,0.8190819672131148,0.762550881953867,0.6636488880141704,0.8967450093421182,0.7096706303272651,0.8843861511562641,9119,1050,1709,3372,41.2094968999736,70.77740097045898,54,-24519.145983315582,49146.291966631165,49633.29439926185,6.0,7.0,1.0,6.0,6.0,26.0
