support,itemsets
0.21442583371057794,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'releaseYear_releaseYear=(1901.999, 2016.0]'})"
0.11780091544690911,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.5388058950757004,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.14073738745535938,"frozenset({'voteAvg_voteAvg=(-0.001, 6.4]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.16206428248076052,"frozenset({'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.40370202706101305,"frozenset({'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.11377697298928625,"frozenset({'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.12821286655600825,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.19224385091293195,"frozenset({'voteAvg_voteAvg=(6.4, 10.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.17921633720637795,"frozenset({'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.12740807806448368,"frozenset({'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.08847643478698254,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'releaseYear_releaseYear=(1901.999, 2016.0]'})"
0.45118454806096275,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.1273577787837634,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.25280418490015594,"frozenset({'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.07992555706453398,"frozenset({'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.23117549419043307,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'popularity_popularity=(-0.001, 0.0997]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.24958503093405765,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(-0.001, 20.0]', 'popularity_popularity=(-0.001, 0.0997]'})"
